label,status,observed,reference,ratio,passed,note
1.1,executable diagnostic,0.22486865625000005,0.057406626663492305,3.9171201883737417,True,Theorem 1.2 lower-bound diagnostic
1.2,executable diagnostic,0.22486865625000005,0.006676827895280163,33.67896548733258,True,Assertion D numerical lower-bound diagnostic
1.3,executable diagnostic,0.22486865625000005,0.015964068913924885,14.085923674123906,True,Assertion E numerical lower-bound diagnostic
1.4,executable diagnostic,0.22486865625000005,0.057406626663492305,3.9171201883737417,True,Corollary 1.10 diagnostic
1.5,executable diagnostic,0.22486865625000005,0.2011621240848299,1.117847891460786,True,Improved union-size target from proof vignette
1.6,executable diagnostic,1.0,4.971114739165813,4.971114739165813,True,Typical multiplicity target
1.7/1.12,executable diagnostic,0.5964912280701754,0.6517234870080821,0.915252004816543,False,Local density in a sampled tau-ball; asymptotic constants omitted
1.7,executable or numerical diagnostic,,,,,Implemented directly or represented by a finite-resolution analogue.
1.8,executable or numerical diagnostic,,,,,Implemented directly or represented by a finite-resolution analogue.
1.9,executable diagnostic,1.0,0.7990969894968151,0.7990969894968151,False,Fine-scale multiplicity estimate
1.10,identity diagnostic,1.0,1.0,1.0,True,Median analogue of mu ~ mu_fine mu_coarse
1.11,executable diagnostic,1.0,2.2973967099940698,2.2973967099940698,True,Coarse multiplicity target
1.12,executable or numerical diagnostic,,,,,Implemented directly or represented by a finite-resolution analogue.
1.13,executable or numerical diagnostic,,,,,Implemented directly or represented by a finite-resolution analogue.
1.14,executable or numerical diagnostic,,,,,Implemented directly or represented by a finite-resolution analogue.
2.1,proof-only trace,,,,,"Internal proof, refinement, pigeonholing, existential, or asymptotic step; registered but not used as a standalone numerical update law."
2.2,proof-only trace,,,,,"Internal proof, refinement, pigeonholing, existential, or asymptotic step; registered but not used as a standalone numerical update law."
2.3,proof-only trace,,,,,"Internal proof, refinement, pigeonholing, existential, or asymptotic step; registered but not used as a standalone numerical update law."
2.4,proof-only trace,,,,,"Internal proof, refinement, pigeonholing, existential, or asymptotic step; registered but not used as a standalone numerical update law."
2.5,proof-only trace,,,,,"Internal proof, refinement, pigeonholing, existential, or asymptotic step; registered but not used as a standalone numerical update law."
2.6,proof-only trace,,,,,"Internal proof, refinement, pigeonholing, existential, or asymptotic step; registered but not used as a standalone numerical update law."
2.7,proof-only trace,,,,,"Internal proof, refinement, pigeonholing, existential, or asymptotic step; registered but not used as a standalone numerical update law."
2.8,proof-only trace,,,,,"Internal proof, refinement, pigeonholing, existential, or asymptotic step; registered but not used as a standalone numerical update law."
2.9,proof-only trace,,,,,"Internal proof, refinement, pigeonholing, existential, or asymptotic step; registered but not used as a standalone numerical update law."
2.10,proof-only trace,,,,,"Internal proof, refinement, pigeonholing, existential, or asymptotic step; registered but not used as a standalone numerical update law."
2.11,proof-only trace,,,,,"Internal proof, refinement, pigeonholing, existential, or asymptotic step; registered but not used as a standalone numerical update law."
2.12,proof-only trace,,,,,"Internal proof, refinement, pigeonholing, existential, or asymptotic step; registered but not used as a standalone numerical update law."
4.1,executable,1.0,1.0,1.0,True,Sampled Katz-Tao convex Wolff constant
4.2,executable,0.17492552091088298,0.17492552091088298,1.0,True,Sampled Frostman slab Wolff constant
4.3,diagnostic,,,,,"Cover inheritance is checked through multiscale grouping, but constants are sampled"
4.4,diagnostic,,,,,Downward inheritance is represented by per-group probe estimates
4.5,diagnostic,5.0,,,,Balanced-cover cardinality diagnostic
4.6,proof-only trace,,,,,"Internal proof, refinement, pigeonholing, existential, or asymptotic step; registered but not used as a standalone numerical update law."
4.7,proof-only trace,,,,,"Internal proof, refinement, pigeonholing, existential, or asymptotic step; registered but not used as a standalone numerical update law."
4.8,proof-only trace,,,,,"Internal proof, refinement, pigeonholing, existential, or asymptotic step; registered but not used as a standalone numerical update law."
